codigo;descricao;saldo_campinas;saldo_bh;saldo_sao_caetano;saldo_londrina;saldo_total;vendas_mes_ant_total;cobertura_meses
0074500;DIPIRONA SODICA 500MG CX 20CP;1730;850;300;725;3605;9990;0.36
0081230;AMOXICILINA 500MG CX 21CP;470;0;0;0;470;1180;0.4
0102440;PROTETOR SOLAR FPS50 200ML;610;0;520;0;1130;7960;0.14
0009910;SHAMPOO ANTICASPA 400ML;0;340;0;260;600;1800;0.33
0113005;OMEPRAZOL 20MG CX 28CP;3500;0;760;0;4260;11050;0.39
0044120;CREME HIDRATANTE CORPORAL 400G;275;0;1020;0;1295;3470;0.37
0090012;LOSARTANA 50MG CX 30CP;0;980;0;415;1395;5950;0.23
0067890;IBUPROFENO 600MG CX 20CP;0;550;0;0;550;2640;0.21
0033445;VITAMINA C 1G EFERVESCENTE 10CP;0;155;0;88;243;1050;0.23
0125001;CONDICIONADOR NUTRITIVO 400ML;0;0;890;130;1020;3760;0.27
