codigo;descricao;lote;validade;saldo;vendas_mes_ant
0074500;DIPIRONA SODICA 500MG CX 20CP;L2401;30/06/2027;1.250,00;3.400,00
0074500;DIPIRONA SODICA 500MG CX 20CP;L2402;31/08/2027;480,00;3.400,00
0074500;DIPIRONA SODICA 500MG CX 20CP;L2311;30/09/2025;90,00;3.400,00
0081230;AMOXICILINA 500MG CX 21CP;L2405;31/12/2026;320,00;1.180,00
0081230;AMOXICILINA 500MG CX 21CP;L2406;28/02/2027;150,00;1.180,00
0102440;PROTETOR SOLAR FPS50 200ML;;30/04/2028;610,00;5.220,00
0009910;SHAMPOO ANTICASPA 400ML;L1122;31/01/2028;0,00;0,00
0113005;OMEPRAZOL 20MG CX 28CP;L2501;31/07/2027;2.400,00;8.150,00
0113005;OMEPRAZOL 20MG CX 28CP;L2502;31/10/2027;1.100,00;8.150,00
0044120;CREME HIDRATANTE CORPORAL 400G;L2410;31/03/2027;275,00;990,00
